Month,Day,Day_of_week,Hour,Minute,Hour_sin,Hour_cos,Minute_sin,Minute_cos,Day_of_week_sin,Day_of_week_cos,Day_sin,Day_cos,DAM_Price,Load,global_tilted_irradiance_instant,Temperature_2m,Shortwave_Radiation,Grid,outage_remaining_h,hours_till_outage,next_outage_duration
1,1,3,0,0,0.0,1.0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,6850.0,64.19,0.0,-7.1,0.0,0,0.5,0.0,0.5
1,1,3,0,15,0.0,1.0,1.0,2.83276944882399e-16,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,6850.0,64.19,0.0,-7.1,0.0,0,0.25,0.0,0.25
1,1,3,0,30,0.0,1.0,5.66553889764798e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,6850.0,64.19,0.0,-7.1,0.0,1,0.0,24.0,0.0
1,1,3,0,45,0.0,1.0,-1.0,-1.8369701987210287e-16,-0.433883739117558,-0.9009688679024191,0.20129852008866,0.9795299412524944,6850.0,64.19,0.0,-7.1,0.0,1,0.0,24.0,0.0
1,1,3,1,0,0.2588190451025207,0.9659258262890684,0.0,1.0,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,3500.0,61.89,0.0,-3.45,0.0,1,0.0,24.0,0.0
1,1,3,1,15,0.2588190451025207,0.9659258262890684,1.0,2.83276944882399e-16,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,3500.0,61.89,0.0,-3.45,0.0,1,0.0,24.0,0.0
1,1,3,1,30,0.2588190451025207,0.9659258262890684,5.66553889764798e-16,-1.0,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,3500.0,61.89,0.0,-3.45,0.0,1,0.0,24.0,0.0
1,1,3,1,45,0.2588190451025207,0.9659258262890684,-1.0,-1.8369701987210287e-16,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,3500.0,61.89,0.0,-3.45,0.0,1,0.0,24.0,0.0
1,1,3,2,0,0.4999999999999999,0.8660254037844387,0.0,1.0,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,2900.0,53.42,0.0,-4.05,0.0,1,0.0,24.0,0.0
1,1,3,2,15,0.4999999999999999,0.8660254037844387,1.0,2.83276944882399e-16,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,2900.0,53.42,0.0,-4.05,0.0,1,0.0,24.0,0.0
1,1,3,2,30,0.4999999999999999,0.8660254037844387,5.66553889764798e-16,-1.0,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,2900.0,53.42,0.0,-4.05,0.0,1,0.0,24.0,0.0
1,1,3,2,45,0.4999999999999999,0.8660254037844387,-1.0,-1.8369701987210287e-16,0.4338837391175582,-0.900968867902419,0.20129852008866,0.9795299412524944,2900.0,53.42,0.0,-4.05,0.0,1,0.0,24.0,0.0
